online_order,book_table,rating,votes,location,cost_for_two,type,city,restaurant_type,cuisines,number_of_cuisines_offered
No,No,3.8,41,Other,100,Delivery,Church Street,Quick Bites,Beverages,1
No,No,3.4,27,MG Road,300,Delivery,Church Street,Quick Bites,North Indian,2
No,No,3.6,15,MG Road,350,Delivery,Church Street,Quick Bites,North Indian,1
No,No,3.0,10,Brigade Road,200,Delivery,Church Street,Food Court,South Indian,3
No,No,3.3,13,Other,600,Delivery,Church Street,Casual Dining,North Indian,3
No,No,3.3,5,Other,350,Delivery,Church Street,Bakery,Bakery,1
Yes,No,3.2,5,Other,300,Delivery,Church Street,Quick Bites,Kerala,3
No,No,2.6,26,Other,400,Delivery,Church Street,Quick Bites,Chinese,2
No,No,3.3,33,Other,300,Delivery,Church Street,Quick Bites,Fast Food,3
No,No,4.1,121,Other,600,Delivery,Church Street,Casual Dining,North Indian,2
No,No,3.7,32,Other,800,Delivery,Church Street,Casual Dining,North Indian,3
No,No,3.4,5,Indiranagar,150,Delivery,Church Street,Dessert Parlor,Desserts,1
Yes,No,3.9,185,Other,350,Delivery,Church Street,Quick Bites,Fast Food,2
Yes,Yes,4.3,1048,Other,1600,Delivery,Church Street,Casual Dining,Other,3
Yes,Yes,4.1,55,MG Road,800,Delivery,Church Street,Cafe,Cafe,2
Yes,No,2.9,55,Other,650,Delivery,Church Street,Cafe,Cafe,2
Yes,No,3.7,50,Other,750,Delivery,Church Street,Casual Dining,South Indian,4
Yes,No,4.2,231,Other,300,Delivery,Church Street,Bakery,Bakery,3
Yes,No,3.1,6,Ulsoor,400,Delivery,Church Street,Bakery,Bakery,2
Yes,No,3.7,23,Indiranagar,100,Delivery,Church Street,Quick Bites,Street Food,2
Yes,No,3.0,9,Other,100,Delivery,Church Street,Dessert Parlor,Desserts,1
Yes,No,3.1,7,Brigade Road,150,Delivery,Church Street,Quick Bites,North Indian,1
Yes,No,3.9,200,Indiranagar,400,Delivery,Church Street,Quick Bites,South Indian,2
Yes,No,3.6,21,Indiranagar,200,Delivery,Church Street,Quick Bites,South Indian,1
Yes,No,3.9,157,Other,450,Delivery,Church Street,Casual Dining,North Indian,2
Yes,No,3.8,71,Indiranagar,500,Delivery,Church Street,Cafe,Cafe,1
Yes,No,3.0,17,Other,300,Delivery,Church Street,Dessert Parlor,Desserts,1
Yes,No,3.8,106,Other,200,Delivery,Church Street,Quick Bites,South Indian,2
Yes,No,3.4,4,Brigade Road,150,Delivery,Church Street,Other,Street Food,2
Yes,No,3.8,362,Other,700,Delivery,Church Street,Cafe,Cafe,2
Yes,No,4.3,291,Other,500,Delivery,Church Street,Takeaway,North Indian,3
Yes,Yes,4.2,982,Ulsoor,1000,Delivery,Church Street,Casual Dining,Other,3
Yes,No,3.0,27,Indiranagar,400,Delivery,Church Street,Bakery,Desserts,2
Yes,No,3.8,66,Indiranagar,200,Delivery,Church Street,Quick Bites,South Indian,2
Yes,No,3.0,64,MG Road,300,Delivery,Church Street,Takeaway,Other,2
Yes,Yes,4.0,378,Other,850,Delivery,Church Street,Casual Dining,North Indian,3
Yes,No,3.6,104,Brigade Road,800,Delivery,Church Street,Cafe,Cafe,3
Yes,No,4.2,121,Other,1000,Delivery,Church Street,Casual Dining,Other,1
Yes,No,3.7,30,Ulsoor,400,Delivery,Church Street,Quick Bites,Chinese,4
Yes,Yes,2.2,406,MG Road,1000,Delivery,Church Street,Casual Dining,Other,1
Yes,No,3.4,9,Other,300,Delivery,Church Street,Cafe,Cafe,1
Yes,Yes,4.4,218,Other,850,Delivery,Church Street,Casual Dining,Other,3
Yes,No,4.2,174,Other,800,Delivery,Church Street,Casual Dining,Other,3
Yes,No,3.9,194,Other,800,Delivery,Church Street,Casual Dining,Chinese,4
Yes,No,3.7,66,Ulsoor,800,Delivery,Church Street,Cafe,Cafe,5
Yes,No,3.8,260,MG Road,700,Delivery,Church Street,Cafe,Cafe,1
Yes,Yes,4.0,933,Other,1000,Delivery,Church Street,Casual Dining,Other,4
Yes,No,3.7,18,MG Road,200,Delivery,Church Street,Quick Bites,South Indian,1
Yes,No,3.6,27,Other,200,Delivery,Church Street,Quick Bites,South Indian,2
Yes,No,3.6,31,Other,450,Delivery,Church Street,Quick Bites,Chinese,2
Yes,No,3.0,140,Other,600,Delivery,Church Street,Casual Dining,North Indian,1
Yes,No,3.6,31,Other,400,Delivery,Church Street,Casual Dining,South Indian,5
Yes,No,4.2,93,Brigade Road,300,Delivery,Church Street,Quick Bites,South Indian,2
Yes,No,2.8,94,Indiranagar,600,Delivery,Church Street,Casual Dining,Chinese,4
Yes,No,3.7,30,Other,200,Delivery,Church Street,Quick Bites,South Indian,3
Yes,No,3.6,24,Other,300,Delivery,Church Street,Quick Bites,South Indian,3
Yes,No,3.0,75,Brigade Road,500,Delivery,Church Street,Quick Bites,Chinese,3
Yes,No,2.9,25,Other,300,Delivery,Church Street,Quick Bites,Street Food,2
Yes,No,3.2,46,Ulsoor,300,Delivery,Church Street,Quick Bites,North Indian,1
Yes,No,2.9,22,Ulsoor,400,Delivery,Church Street,Casual Dining,South Indian,5
Yes,No,4.0,73,Other,250,Delivery,Church Street,Bakery,Bakery,1
Yes,No,3.4,8,Other,400,Delivery,Church Street,Quick Bites,South Indian,3
Yes,No,3.7,43,Ulsoor,250,Delivery,Church Street,Quick Bites,Beverages,2
Yes,No,4.1,33,Other,400,Delivery,Church Street,Dessert Parlor,Desserts,1
Yes,No,3.0,38,Indiranagar,600,Delivery,Church Street,Delivery,South Indian,1
Yes,No,3.8,62,Other,400,Delivery,Church Street,Casual Dining,South Indian,3
Yes,No,3.6,31,Other,500,Delivery,Church Street,Casual Dining,South Indian,3
No,No,3.2,4,Ulsoor,400,Delivery,Church Street,Quick Bites,South Indian,2
Yes,Yes,4.1,452,Other,600,Delivery,Church Street,Casual Dining,North Indian,1
Yes,No,3.0,20,Brigade Road,400,Delivery,Church Street,Quick Bites,Kerala,4
Yes,No,3.6,44,Brigade Road,300,Delivery,Church Street,Other,North Indian,1
Yes,No,3.0,24,Other,450,Delivery,Church Street,Casual Dining,North Indian,2
Yes,No,3.7,161,Other,700,Delivery,Church Street,Casual Dining,Chinese,2
Yes,No,4.0,32,Brigade Road,300,Delivery,Church Street,Quick Bites,Other,2
Yes,No,3.3,6,Other,400,Delivery,Church Street,Cafe,Cafe,1
Yes,No,4.1,115,Indiranagar,450,Delivery,Church Street,Cafe,Cafe,2
Yes,No,3.7,68,Brigade Road,500,Delivery,Church Street,Casual Dining,South Indian,2
Yes,No,4.2,127,Brigade Road,700,Delivery,Church Street,Casual Dining,Other,1
Yes,No,4.4,319,Other,800,Delivery,Church Street,Casual Dining,North Indian,2
Yes,No,3.9,119,Other,1000,Delivery,Church Street,Casual Dining,Continental,3
Yes,No,3.9,117,Ulsoor,600,Delivery,Church Street,Casual Dining,Other,1
Yes,No,2.8,20,Brigade Road,550,Delivery,Church Street,Casual Dining,North Indian,2
Yes,No,3.0,13,Other,400,Delivery,Church Street,Takeaway,Street Food,2
Yes,No,3.9,55,Other,400,Delivery,Church Street,Quick Bites,Biryani,2
No,No,3.2,7,Brigade Road,600,Delivery,Church Street,Cafe,Cafe,1
Yes,No,3.1,54,Indiranagar,500,Delivery,Church Street,Delivery,Continental,1
Yes,No,3.9,53,MG Road,600,Delivery,Church Street,Dessert Parlor,Desserts,1
Yes,No,3.3,11,Brigade Road,400,Delivery,Church Street,Casual Dining,North Indian,2
Yes,No,3.1,38,Other,300,Delivery,Church Street,Quick Bites,Other,2
Yes,No,2.8,34,Indiranagar,600,Delivery,Church Street,Delivery,Continental,4
Yes,No,3.3,21,Indiranagar,300,Delivery,Church Street,Takeaway,South Indian,3
Yes,No,3.3,6,Ulsoor,150,Delivery,Church Street,Beverage Shop,Other,2
Yes,No,3.0,7,Ulsoor,200,Delivery,Church Street,Quick Bites,North Indian,2
Yes,No,3.7,17,Ulsoor,300,Delivery,Church Street,Quick Bites,Other,1
Yes,No,3.6,21,Other,150,Delivery,Church Street,Beverage Shop,Beverages,2
Yes,No,3.8,28,Other,650,Delivery,Church Street,Delivery,Other,2
Yes,No,3.2,40,Other,400,Delivery,Church Street,Beverage Shop,Beverages,2
Yes,No,4.1,125,MG Road,900,Delivery,Church Street,Casual Dining,Continental,7
Yes,No,3.0,110,Indiranagar,700,Delivery,Church Street,Casual Dining,Andhra,3
Yes,No,3.8,72,Brigade Road,650,Delivery,Church Street,Cafe,Cafe,4
Yes,No,3.6,79,Other,500,Delivery,Church Street,Quick Bites,South Indian,2
Yes,No,3.4,11,Other,650,Delivery,Church Street,Quick Bites,North Indian,3
Yes,No,3.2,18,Brigade Road,300,Delivery,Church Street,Quick Bites,Street Food,2
Yes,No,3.4,5,Other,400,Delivery,Church Street,Casual Dining,South Indian,1
Yes,No,3.8,20,Brigade Road,200,Delivery,Church Street,Quick Bites,Chinese,4
Yes,No,3.0,13,Brigade Road,600,Delivery,Church Street,Casual Dining,Continental,3
Yes,No,3.7,21,Other,450,Delivery,Church Street,Cafe,Cafe,1
Yes,No,3.1,18,Other,300,Delivery,Church Street,Quick Bites,Street Food,1
Yes,No,3.4,25,Other,300,Delivery,Church Street,Quick Bites,Chinese,2
Yes,No,3.6,21,Indiranagar,300,Delivery,Church Street,Quick Bites,Fast Food,3
Yes,No,3.0,12,Other,350,Delivery,Church Street,Quick Bites,Other,3
Yes,No,3.0,20,Other,500,Delivery,Church Street,Cafe,Cafe,2
Yes,Yes,3.8,81,Ulsoor,800,Delivery,Church Street,Casual Dining,Chinese,2
Yes,No,3.9,306,Other,500,Delivery,Church Street,Casual Dining,Chinese,3
Yes,No,3.1,163,Other,350,Delivery,Church Street,Quick Bites,Fast Food,3
Yes,No,4.2,858,Ulsoor,1800,Delivery,Church Street,Casual Dining,Other,2
Yes,Yes,4.0,188,Other,1300,Delivery,Church Street,Casual Dining,North Indian,2
Yes,No,3.6,82,Other,500,Delivery,Church Street,Casual Dining,North Indian,2
Yes,No,2.8,142,Other,300,Delivery,Church Street,Bakery,Bakery,2
Yes,No,3.9,134,Other,550,Delivery,Church Street,Casual Dining,Other,3
Yes,No,3.7,81,Other,200,Delivery,Church Street,Quick Bites,South Indian,2
Yes,Yes,3.8,298,Indiranagar,1200,Delivery,Church Street,Casual Dining,North Indian,3
Yes,Yes,4.1,765,Ulsoor,1200,Delivery,Church Street,Casual Dining,Other,4
Yes,No,3.9,158,Other,1300,Delivery,Church Street,Casual Dining,Chinese,3
Yes,Yes,3.8,198,MG Road,1600,Delivery,Church Street,Casual Dining,Other,2
Yes,No,4.1,391,Other,600,Delivery,Church Street,Casual Dining,Chinese,5
Yes,Yes,4.1,1053,Indiranagar,1400,Delivery,Church Street,Takeaway,Continental,4
Yes,No,3.9,430,Other,550,Delivery,Church Street,Casual Dining,Other,3
Yes,Yes,3.8,203,Other,1200,Delivery,Church Street,Casual Dining,North Indian,3
Yes,No,3.4,36,Brigade Road,150,Delivery,Church Street,Dessert Parlor,Bakery,1
Yes,No,3.7,46,Other,1000,Delivery,Church Street,Casual Dining,South Indian,1
Yes,No,3.0,73,Other,600,Delivery,Church Street,Other,Other,2
Yes,No,3.8,207,Other,400,Delivery,Church Street,Casual Dining,South Indian,4
Yes,No,3.6,41,Other,1400,Delivery,Church Street,Casual Dining,North Indian,5
Yes,Yes,4.0,456,Other,1000,Delivery,Church Street,Casual Dining,Chinese,2
Yes,No,3.9,87,Ulsoor,500,Delivery,Church Street,Casual Dining,North Indian,4
Yes,Yes,4.1,354,Other,1200,Delivery,Church Street,Casual Dining,South Indian,3
Yes,No,3.2,13,Other,200,Delivery,Church Street,Quick Bites,South Indian,2
Yes,No,3.1,24,Other,150,Delivery,Church Street,Quick Bites,South Indian,1
Yes,No,4.0,279,Other,600,Delivery,Church Street,Casual Dining,North Indian,4
Yes,No,3.7,129,Indiranagar,40,Delivery,Church Street,Quick Bites,South Indian,3
Yes,No,3.8,77,Indiranagar,250,Delivery,Church Street,Quick Bites,Andhra,3
Yes,No,3.9,65,Brigade Road,250,Delivery,Church Street,Quick Bites,Fast Food,2
Yes,No,4.0,104,Other,500,Delivery,Church Street,Casual Dining,North Indian,4
Yes,No,3.7,23,Other,500,Delivery,Church Street,Quick Bites,Biryani,3
No,No,3.2,6,Ulsoor,300,Delivery,Church Street,Quick Bites,Biryani,1
Yes,No,3.9,443,Other,600,Delivery,Church Street,Casual Dining,Biryani,3
Yes,No,2.8,56,Other,400,Delivery,Church Street,Quick Bites,South Indian,4
Yes,No,3.3,11,Brigade Road,200,Delivery,Church Street,Quick Bites,Street Food,2
Yes,Yes,4.0,1022,Brigade Road,700,Delivery,Church Street,Casual Dining,North Indian,2
Yes,No,2.9,50,Brigade Road,350,Delivery,Church Street,Quick Bites,South Indian,3
Yes,No,3.8,96,Ulsoor,600,Delivery,Church Street,Cafe,Cafe,3
Yes,No,3.3,4,Other,200,Delivery,Church Street,Quick Bites,North Indian,1
Yes,No,3.3,4,Other,100,Delivery,Church Street,Takeaway,Fast Food,2
Yes,No,3.1,9,Other,100,Delivery,Church Street,Quick Bites,South Indian,1
Yes,No,3.1,26,Other,200,Delivery,Church Street,Other,Other,2
Yes,Yes,4.2,475,Other,1700,Delivery,Church Street,Casual Dining,North Indian,3
No,No,3.2,4,Other,200,Delivery,Church Street,Quick Bites,South Indian,1
Yes,No,3.2,5,Other,300,Delivery,Church Street,Quick Bites,South Indian,1
Yes,No,3.7,110,Other,550,Delivery,Church Street,Casual Dining,North Indian,2
No,No,3.0,8,Other,200,Delivery,Church Street,Dessert Parlor,Desserts,2
Yes,No,2.8,296,Other,600,Delivery,Church Street,Casual Dining,Biryani,1
Yes,No,4.2,974,Indiranagar,1100,Delivery,Church Street,Casual Dining,Chinese,2
No,No,3.7,32,Other,500,Delivery,Church Street,Quick Bites,Chinese,2
No,No,3.3,5,Other,250,Delivery,Church Street,Quick Bites,Fast Food,2
Yes,No,3.0,14,Other,250,Delivery,Church Street,Quick Bites,Desserts,2
Yes,No,4.0,113,MG Road,1000,Delivery,Church Street,Casual Dining,Other,3
Yes,No,4.1,110,Indiranagar,150,Delivery,Church Street,Quick Bites,Other,2
Yes,No,3.9,202,Other,250,Delivery,Church Street,Quick Bites,Fast Food,3
Yes,No,3.0,126,Other,700,Delivery,Church Street,Casual Dining,Chinese,2
Yes,No,3.3,5,Indiranagar,350,Delivery,Church Street,Cafe,Other,6
Yes,No,3.6,41,Brigade Road,500,Delivery,Church Street,Casual Dining,Kerala,1
Yes,No,4.1,54,Other,400,Delivery,Church Street,Casual Dining,Other,3
Yes,No,3.6,16,Other,250,Delivery,Church Street,Quick Bites,Other,3
Yes,No,3.2,4,MG Road,450,Delivery,Church Street,Quick Bites,North Indian,2
Yes,No,4.2,34,Other,300,Delivery,Church Street,Dessert Parlor,Desserts,2
Yes,No,3.2,4,Other,200,Delivery,Church Street,Dessert Parlor,Ice Cream,3
Yes,No,3.6,16,Koramangala,300,Delivery,Church Street,Delivery,North Indian,1
Yes,No,3.3,8,Other,150,Delivery,Church Street,Quick Bites,South Indian,1
Yes,No,3.3,6,Other,300,Delivery,Church Street,Quick Bites,South Indian,2
Yes,No,3.6,32,Other,700,Delivery,Church Street,Quick Bites,North Indian,2
Yes,No,3.4,7,Ulsoor,500,Delivery,Church Street,Quick Bites,Other,6
Yes,No,3.3,8,Other,150,Delivery,Church Street,Quick Bites,South Indian,1
Yes,No,3.4,8,Ulsoor,300,Delivery,Church Street,Quick Bites,Chinese,1
Yes,No,3.3,6,Other,300,Delivery,Church Street,Quick Bites,South Indian,2
Yes,No,3.2,23,Brigade Road,700,Delivery,Church Street,Casual Dining,Other,3
Yes,No,3.6,32,Other,700,Delivery,Church Street,Quick Bites,North Indian,2
Yes,No,3.2,5,Other,350,Delivery,Church Street,Delivery,North Indian,1
Yes,No,4.4,635,Other,400,Delivery,Church Street,Dessert Parlor,Ice Cream,2
Yes,No,3.0,10,Other,300,Delivery,Church Street,Takeaway,Desserts,2
Yes,No,3.3,5,Brigade Road,400,Delivery,Church Street,Quick Bites,Beverages,2
Yes,No,3.7,24,Ulsoor,300,Delivery,Church Street,Quick Bites,North Indian,2
Yes,Yes,3.1,59,Other,400,Delivery,Church Street,Quick Bites,Biryani,4
Yes,No,4.1,402,Other,750,Delivery,Church Street,Casual Dining,North Indian,4
Yes,No,4.1,68,Other,700,Delivery,Church Street,Casual Dining,North Indian,1
No,No,3.8,263,Indiranagar,700,Delivery,Church Street,Takeaway,Other,3
Yes,Yes,4.4,864,MG Road,1800,Delivery,Church Street,Casual Dining,Other,2
Yes,No,4.3,655,Other,750,Delivery,Church Street,Cafe,Cafe,2
Yes,No,3.8,23,Indiranagar,200,Delivery,Church Street,Quick Bites,Fast Food,2
Yes,Yes,4.4,488,Other,1900,Delivery,Church Street,Bar,Other,1
Yes,No,3.0,26,Indiranagar,250,Delivery,Church Street,Quick Bites,North Indian,4
Yes,No,4.0,1098,Ulsoor,1300,Delivery,Church Street,Casual Dining,Kerala,2
Yes,Yes,4.1,297,Other,1000,Delivery,Church Street,Casual Dining,Other,4
Yes,No,4.2,255,Other,500,Delivery,Church Street,Cafe,Cafe,3
Yes,No,3.8,33,Brigade Road,600,Delivery,Church Street,Quick Bites,Other,3
Yes,No,3.8,24,Indiranagar,200,Delivery,Church Street,Takeaway,South Indian,1
Yes,Yes,4.3,394,Brigade Road,1600,Delivery,Church Street,Bar,Other,3
Yes,No,4.4,223,MG Road,700,Delivery,Church Street,Quick Bites,Other,4
Yes,No,3.6,112,Other,500,Delivery,Church Street,Quick Bites,Other,4
Yes,No,4.4,68,Other,300,Delivery,Church Street,Quick Bites,Desserts,2
Yes,Yes,4.1,525,Indiranagar,800,Delivery,Church Street,Casual Dining,Chinese,4
Yes,No,4.1,153,Other,300,Delivery,Church Street,Cafe,Cafe,2
Yes,No,4.1,118,Other,1000,Delivery,Church Street,Casual Dining,Continental,3
Yes,No,4.2,1207,Indiranagar,600,Delivery,Church Street,Cafe,Cafe,4
Yes,No,3.6,95,Other,650,Delivery,Church Street,Cafe,Cafe,4
Yes,No,4.2,1765,Other,750,Delivery,Church Street,Casual Dining,Continental,2
Yes,No,4.2,382,Ulsoor,500,Delivery,Church Street,Cafe,Other,7
Yes,No,4.3,1708,Other,1300,Delivery,Church Street,Other,Continental,3
Yes,Yes,4.2,2840,Other,800,Delivery,Church Street,Casual Dining,Other,7
Yes,No,3.2,35,Other,350,Delivery,Church Street,Quick Bites,North Indian,2
Yes,No,3.7,80,Ulsoor,300,Delivery,Church Street,Quick Bites,Other,1
Yes,Yes,4.3,765,Other,1400,Delivery,Church Street,Casual Dining,Other,2
Yes,No,3.9,258,Indiranagar,650,Delivery,Church Street,Casual Dining,North Indian,3
Yes,No,3.2,7,Other,300,Delivery,Church Street,Quick Bites,Biryani,1
Yes,No,3.4,11,Koramangala,300,Delivery,Church Street,Quick Bites,Other,2
Yes,Yes,4.2,2924,Other,1000,Delivery,Church Street,Casual Dining,Other,6
Yes,No,4.0,1205,Brigade Road,2000,Delivery,Church Street,Bar,Continental,2
Yes,No,4.1,41,Other,150,Delivery,Church Street,Dessert Parlor,Desserts,2
Yes,Yes,4.0,2112,Brigade Road,2000,Delivery,Church Street,Other,Chinese,5
Yes,Yes,4.3,945,Other,750,Delivery,Church Street,Cafe,Cafe,4
Yes,No,4.1,461,Other,700,Delivery,Church Street,Cafe,Cafe,5
Yes,Yes,4.4,1842,Other,1500,Delivery,Church Street,Casual Dining,Other,2
Yes,Yes,4.3,3485,Other,1700,Delivery,Church Street,Pub,Continental,3
Yes,No,3.0,96,Other,650,Delivery,Church Street,Takeaway,Continental,3
No,No,2.8,38,Ulsoor,500,Delivery,Church Street,Delivery,North Indian,2
No,No,3.7,16,Other,300,Delivery,Church Street,Takeaway,North Indian,2
No,Yes,3.9,158,Other,1100,Delivery,Church Street,Casual Dining,North Indian,4
Yes,No,3.4,7,MG Road,1600,Delivery,Church Street,Takeaway,Continental,3
Yes,No,2.0,34,Ulsoor,600,Delivery,Church Street,Quick Bites,Other,2
No,No,3.2,7,Other,200,Delivery,Church Street,Quick Bites,North Indian,2
Yes,Yes,3.8,91,Other,1800,Delivery,Church Street,Casual Dining,North Indian,4
Yes,No,3.2,2,Other,1000,Delivery,Church Street,Casual Dining,Continental,2
Yes,No,3.6,10,Other,600,Delivery,Church Street,Delivery,Other,1
No,Yes,4.0,1706,Other,1000,Desserts,Church Street,Cafe,Cafe,4
Yes,No,4.1,41,Other,150,Desserts,Church Street,Dessert Parlor,Desserts,2
No,No,4.3,182,Other,400,Desserts,Church Street,Dessert Parlor,Desserts,2
Yes,No,4.0,68,Other,250,Desserts,Church Street,Dessert Parlor,Desserts,1
Yes,No,4.0,122,Other,400,Desserts,Church Street,Beverage Shop,Beverages,2
Yes,No,3.0,36,Other,250,Desserts,Church Street,Dessert Parlor,Ice Cream,2
No,Yes,4.3,447,Other,2000,Desserts,Church Street,Other,Other,1
Yes,Yes,4.2,2840,Other,800,Desserts,Church Street,Casual Dining,Other,7
Yes,No,4.9,1744,Brigade Road,400,Desserts,Church Street,Dessert Parlor,Desserts,1
Yes,No,4.4,1093,Other,600,Desserts,Church Street,Bakery,Bakery,4
Yes,No,4.1,1079,Brigade Road,550,Desserts,Church Street,Quick Bites,Other,3
No,No,4.4,1899,Other,400,Desserts,Church Street,Dessert Parlor,Ice Cream,3
No,No,4.3,523,Other,1400,Desserts,Church Street,Bakery,Other,6
Yes,No,4.1,115,Other,700,Desserts,Church Street,Cafe,Other,6
No,No,3.6,223,Other,300,Desserts,Church Street,Quick Bites,Street Food,2
No,No,4.0,233,Other,1250,Desserts,Church Street,Dessert Parlor,Desserts,3
Yes,Yes,4.1,55,MG Road,800,Desserts,Church Street,Cafe,Cafe,2
Yes,No,4.3,569,Ulsoor,700,Desserts,Church Street,Cafe,Cafe,5
No,No,4.0,1445,MG Road,500,Desserts,Church Street,Dessert Parlor,Desserts,3
No,No,4.0,292,Other,400,Desserts,Church Street,Dessert Parlor,Ice Cream,2
Yes,No,4.4,216,Brigade Road,450,Desserts,Church Street,Food Court,Desserts,2
No,Yes,4.1,119,Ulsoor,2000,Desserts,Church Street,Casual Dining,Continental,4
Yes,Yes,4.1,297,Other,1000,Desserts,Church Street,Casual Dining,Other,4
Yes,No,4.2,432,Ulsoor,700,Desserts,Church Street,Cafe,Cafe,5
Yes,No,4.2,116,MG Road,500,Desserts,Church Street,Cafe,Cafe,2
No,No,4.0,98,Ulsoor,400,Desserts,Church Street,Dessert Parlor,Bakery,1
Yes,No,4.4,68,Other,300,Desserts,Church Street,Quick Bites,Desserts,2
No,No,4.0,24,Brigade Road,450,Desserts,Church Street,Cafe,Cafe,5
No,No,3.6,52,Other,300,Desserts,Church Street,Bakery,Bakery,2
Yes,No,4.0,78,Other,350,Desserts,Church Street,Quick Bites,Fast Food,5
Yes,No,4.3,116,Other,400,Desserts,Church Street,Dessert Parlor,Desserts,2
No,No,4.0,79,MG Road,800,Desserts,Church Street,Dessert Parlor,Desserts,1
No,No,4.0,184,Other,400,Desserts,Church Street,Quick Bites,Other,2
No,No,3.6,23,Brigade Road,200,Desserts,Church Street,Bakery,Bakery,1
No,No,3.0,19,Other,1000,Desserts,Church Street,Other,Desserts,1
Yes,No,3.9,65,Brigade Road,250,Desserts,Church Street,Quick Bites,Fast Food,2
Yes,No,4.1,63,MG Road,900,Desserts,Church Street,Dessert Parlor,Desserts,1
No,No,3.7,14,Other,300,Desserts,Church Street,Bakery,Bakery,2
No,No,3.9,89,Other,400,Desserts,Church Street,Beverage Shop,Desserts,3
Yes,No,3.8,59,Other,300,Desserts,Church Street,Other,Fast Food,2
Yes,No,4.0,85,Other,400,Desserts,Church Street,Dessert Parlor,Cafe,4
No,No,3.4,14,Other,200,Desserts,Church Street,Bakery,Bakery,1
Yes,No,3.9,53,MG Road,600,Desserts,Church Street,Dessert Parlor,Desserts,1
No,No,4.0,100,Other,150,Desserts,Church Street,Dessert Parlor,Ice Cream,2
Yes,No,4.2,231,Other,300,Desserts,Church Street,Bakery,Bakery,3
No,No,3.9,35,Other,150,Desserts,Church Street,Other,Other,2
Yes,No,4.2,131,Brigade Road,180,Desserts,Church Street,Dessert Parlor,Ice Cream,2
No,No,3.7,23,Other,250,Desserts,Church Street,Bakery,Bakery,1
Yes,No,2.9,17,Ulsoor,200,Desserts,Church Street,Dessert Parlor,Ice Cream,3
No,No,3.6,37,Other,250,Desserts,Church Street,Quick Bites,South Indian,4
No,No,3.8,29,Ulsoor,200,Desserts,Church Street,Dessert Parlor,Desserts,1
Yes,No,3.9,73,Other,150,Desserts,Church Street,Dessert Parlor,Beverages,2
Yes,No,3.9,148,Brigade Road,450,Desserts,Church Street,Food Court,Bakery,3
No,Yes,3.8,25,Ulsoor,2200,Desserts,Church Street,Cafe,Cafe,3
Yes,No,3.4,6,Ulsoor,400,Desserts,Church Street,Bakery,Bakery,2
No,No,3.6,15,Other,100,Desserts,Church Street,Bakery,Bakery,1
No,No,3.8,26,Brigade Road,350,Desserts,Church Street,Dessert Parlor,Desserts,1
Yes,No,3.0,9,Brigade Road,500,Desserts,Church Street,Bakery,Bakery,2
Yes,No,3.9,101,Brigade Road,400,Desserts,Church Street,Other,Other,2
Yes,No,2.9,47,Ulsoor,400,Desserts,Church Street,Bakery,Bakery,3
No,No,3.9,66,Brigade Road,200,Desserts,Church Street,Dessert Parlor,Ice Cream,2
No,No,3.4,6,Other,150,Desserts,Church Street,Other,Other,2
No,No,3.7,17,MG Road,200,Desserts,Church Street,Dessert Parlor,Desserts,1
No,No,3.7,17,Brigade Road,150,Desserts,Church Street,Dessert Parlor,Desserts,1
No,No,3.3,4,Other,300,Desserts,Church Street,Other,Other,2
Yes,No,3.0,17,Other,300,Desserts,Church Street,Dessert Parlor,Desserts,1
Yes,No,3.4,36,Brigade Road,150,Desserts,Church Street,Dessert Parlor,Bakery,1
Yes,No,3.0,14,Other,250,Desserts,Church Street,Quick Bites,Desserts,2
No,No,3.8,26,Other,500,Desserts,Church Street,Dessert Parlor,Desserts,2
Yes,No,3.0,9,Other,100,Desserts,Church Street,Dessert Parlor,Desserts,1
No,No,3.4,11,Other,150,Desserts,Church Street,Quick Bites,Street Food,2
No,No,3.0,10,Other,100,Desserts,Church Street,Dessert Parlor,Bakery,1
No,No,3.0,6,Other,500,Desserts,Church Street,Dessert Parlor,Bakery,1
No,No,3.2,7,Other,300,Desserts,Church Street,Bakery,Bakery,1
No,No,3.9,38,Ulsoor,300,Desserts,Church Street,Bakery,Bakery,2
Yes,No,3.1,6,Ulsoor,400,Desserts,Church Street,Bakery,Bakery,2
Yes,No,3.7,19,Other,400,Desserts,Church Street,Beverage Shop,Beverages,3
Yes,No,4.1,125,MG Road,900,Desserts,Church Street,Casual Dining,Continental,7
Yes,No,4.0,47,Other,300,Desserts,Church Street,Dessert Parlor,Desserts,2
No,No,4.2,220,Other,150,Desserts,Church Street,Dessert Parlor,Ice Cream,2
No,No,3.4,27,MG Road,300,Desserts,Church Street,Quick Bites,North Indian,2
No,No,3.2,6,MG Road,300,Desserts,Church Street,Other,Other,3
No,No,3.3,5,Other,350,Desserts,Church Street,Bakery,Bakery,1
Yes,No,3.7,17,Brigade Road,200,Desserts,Church Street,Beverage Shop,Beverages,2
No,No,3.9,49,Other,600,Desserts,Church Street,Dessert Parlor,Bakery,1
Yes,No,4.0,93,Brigade Road,300,Desserts,Church Street,Dessert Parlor,Desserts,1
Yes,No,4.0,49,Other,500,Desserts,Church Street,Delivery,Bakery,2
Yes,No,3.7,73,Other,350,Desserts,Church Street,Dessert Parlor,Desserts,2
Yes,Yes,4.7,4677,Other,1300,Desserts,Church Street,Pub,North Indian,5
